Nom de la commune,Population municipale,proportion de vote pour le parti A, Latitude , Longitude 
Hénouville,1220,0.606,49.483333,0.966667
Héricourt-en-Caux,948,0.561,49.7,0.7
Hermanville,114,0.510,49.816667,0.983333
Hermeville,368,0.422,49.6,0.266667
Le Héron,254,0.542,49.483333,1.4
Héronchelles,131,0.526,49.533333,1.383333
Heugleville-sur-Scie,622,0.453,49.733333,1.1
Heurteauville,327,0.335,49.45,0.816667
Hodeng-au-Bosc,568,0.606,49.866667,1.716667
Hodeng-Hodenger,280,0.388,49.533333,1.566667
Houdetot,170,0.432,49.816667,0.8
Le Houlme,4047,0.489,49.516667,1.033333
Houppeville,2664,0.512,49.516667,1.083333
Houquetot,365,0.758,49.608333,0.391667
Hugleville-en-Caux,428,0.444,49.633333,0.983333
Les Ifs,72,0.361,49.883333,1.4
Illois,387,0.638,49.75,1.65
Imbleville,327,0.605,49.716667,0.95
Incheville,1286,0.521,50.016667,1.5
Ingouville,251,0.290,49.833333,0.683333
Isneauville,2698,0.776,49.5,1.15
Jumièges,1778,0.473,49.433333,0.816667
Lamberville,184,0.515,49.766667,1
Lammerville,337,0.486,49.8,0.983333
Lanquetot,1114,0.497,49.583333,0.533333
Lestanville,94,0.407,49.75,0.966667
Lillebonne,9018,0.569,49.516667,0.55
Limésy,1480,0.409,49.616667,0.933333
Limpiville,351,0.326,49.683333,0.5
Lindebeuf,395,0.581,49.7,0.916667
Lintot,441,0.537,49.566667,0.566667
Lintot-les-Bois,185,0.533,49.8,1.066667
Les Loges,1194,0.484,49.7,0.283333
La Londe,2304,0.510,49.3,0.966667
Londinières,1306,0.451,49.833333,1.4
Longmesnil,55,0.468,49.616667,1.616667
Longroy,642,0.417,49.983333,1.533333
Longueil,576,0.269,49.883333,0.966667
Longuerue,314,0.502,49.55,1.3
Longueville-sur-Scie,975,0.436,49.8,1.1
Lucy,174,0.640,49.783333,1.45
Luneray,2166,0.566,49.833333,0.916667
Arelaune-en-Seine,2551,0.506,49.483333,0.766667
Malaunay,5902,0.377,49.533333,1.033333
Malleville-les-Grès,161,0.519,49.833333,0.6
Manéglise,1272,0.476,49.566667,0.25
Manéhouville,218,0.379,49.833333,1.083333
Maniquerville,390,0.473,49.7,0.333333
Manneville-ès-Plains,269,0.356,49.85,0.75
Manneville-la-Goupil,1026,0.378,49.616667,0.35
Mannevillette,789,0.484,49.6,0.183333
Maromme,11088,0.455,49.466667,1.033333
Marques,217,0.583,49.783333,1.7
Martainville-Épreville,713,0.679,49.466667,1.283333
Martigny,453,0.458,49.866667,1.15
Martin-Église,1542,0.433,49.9,1.15
Massy,353,0.585,49.683333,1.4
Mathonville,311,0.455,49.616667,1.383333
Maucomble,404,0.576,49.683333,1.333333
Mauny,166,0.572,49.383333,0.883333
Mauquenchy,348,0.502,49.6,1.466667
Mélamare,836,0.647,49.533333,0.45
Melleville,264,0.662,49.95,1.466667
